Date (YYMMDD),Observation Number,FeI Line ID,Calculated Radial Velocity (km/s),RMS ThAr Calibration,v_telurica,v_heliocentrica_kms,Inverse Flux Intensity,Flux Intensity,Gradient 1,Gradient 2,R^2 Gradient 1,R^2 Gradient 2,Standard Error Gradient 1,Standard Error Gradient 2
150307,1,A,-35.82,0.0024,29.8,-6.02,1.61,0.62,0.0061,0.0042,0.0307,0.0325,0.0152,0.023
150307,1,B,-35.94,0.0024,29.8,-6.13,1.48,0.68,0.0061,0.0042,0.0307,0.0325,0.0152,0.023
150307,1,C,-35.05,0.0024,29.8,-5.25,1.2,0.84,0.0061,0.0042,0.0307,0.0325,0.0152,0.023
150307,1,D,-33.98,0.0024,29.8,-4.17,1.37,0.73,0.0061,0.0042,0.0307,0.0325,0.0152,0.023
150307,1,E,-35.89,0.0024,29.8,-6.09,1.35,0.74,0.0061,0.0042,0.0307,0.0325,0.0152,0.023
150307,1,F,-33.27,0.0024,29.8,-3.46,1.39,0.72,0.0061,0.0042,0.0307,0.0325,0.0152,0.023
150307,1,G,-33.27,0.0024,29.8,-3.47,1.53,0.66,0.0061,0.0042,0.0307,0.0325,0.0152,0.023
150307,1,H,-29.63,0.0024,29.8,0.18,1.31,0.76,0.0061,0.0042,0.0307,0.0325,0.0152,0.023
150307,1,I,-35.89,0.0024,29.8,-6.08,1.42,0.7,0.0061,0.0042,0.0307,0.0325,0.0152,0.023
150307,1,J,-36.03,0.0024,29.8,-6.23,1.53,0.65,0.0061,0.0042,0.0307,0.0325,0.0152,0.023
150328,1,A,26.11,1.1539,26.87,52.99,1.13,0.89,0.0006,0.002,0.0204,0.1497,0.0017,0.0047
150328,1,B,-5.42,1.1539,26.87,21.45,1.11,0.9,0.0006,0.002,0.0204,0.1497,0.0017,0.0047
150328,1,C,30.63,1.1539,26.87,57.51,1.34,0.75,0.0006,0.002,0.0204,0.1497,0.0017,0.0047
150328,1,D,7.33,1.1539,26.87,34.2,1.13,0.89,0.0006,0.002,0.0204,0.1497,0.0017,0.0047
150328,1,E,4.5,1.1539,26.87,31.37,1.46,0.68,0.0006,0.002,0.0204,0.1497,0.0017,0.0047
150328,1,F,-32.65,1.1539,26.87,-5.77,1.38,0.73,0.0006,0.002,0.0204,0.1497,0.0017,0.0047
150328,1,G,39.66,1.1539,26.87,66.54,1.36,0.74,0.0006,0.002,0.0204,0.1497,0.0017,0.0047
